Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
E'Twaun Moore\mooreet01,0.481,1.8,0.452,0.491,0.629,0.3,2.3,1.7,0.6,0.3,7.5
Eric Gordon\gordoer01,0.418,6.5,0.384,0.457,0.888,0.2,2.2,2.7,1,0.3,15.2
Evan Turner\turneev01,0.456,1,0.241,0.482,0.827,0.6,4.9,4.4,1,0.3,10.5
Gary Harris\harriga01,0.469,3.9,0.354,0.543,0.82,0.7,2.9,1.9,1.3,0.2,12.3
Gary Neal\nealga01,0.465,2.5,0.41,0.489,0.855,0.3,2.1,1.2,0.5,0,9.8
Gerald Green\greenge01,0.392,3.8,0.323,0.446,0.783,0.4,2.4,0.8,0.6,0.3,8.9
Gerald Henderson\hendege02,0.439,1.9,0.353,0.468,0.767,0.4,2.9,1,0.5,0.3,8.7
Hollis Thompson\thompho01,0.397,5.1,0.38,0.42,0.719,0.7,3.5,1.3,0.5,0.3,9.8
Iman Shumpert\shumpim01,0.374,2.7,0.295,0.447,0.784,0.6,3.8,1.7,1,0.4,5.8
Isaiah Canaan\canaais01,0.36,6.3,0.363,0.354,0.833,0.3,2.3,1.8,0.7,0.2,11
J.J. Redick\redicjj01,0.48,5.6,0.475,0.484,0.888,0.1,1.9,1.4,0.6,0.1,16.3
J.R. Smith\smithjr01,0.415,6.6,0.4,0.438,0.634,0.6,2.8,1.7,1.1,0.3,12.4
Jamal Crawford\crawfja01,0.404,4.4,0.34,0.44,0.904,0.3,1.8,2.3,0.7,0.2,14.2
James Anderson\anderja01,0.376,1.7,0.267,0.478,0.759,0.3,1.7,0.8,0.4,0.3,3.5
James Harden\hardeja01,0.439,8,0.359,0.494,0.86,0.8,6.1,7.5,1.7,0.6,29
Jason Terry\terryja01,0.402,3.6,0.356,0.504,0.818,0.2,1.1,1.4,0.7,0.1,5.9
Jeremy Lamb\lambje01,0.451,2.7,0.309,0.529,0.727,0.7,3.8,1.2,0.6,0.5,8.8
Jeremy Lin\linje01,0.412,2.9,0.336,0.446,0.815,0.5,3.2,3,0.7,0.5,11.7
Jerryd Bayless\bayleje01,0.423,4.4,0.437,0.408,0.778,0.4,2.7,3.1,0.9,0.2,10.4
Jimmy Butler\butleji01,0.454,3.1,0.312,0.489,0.832,1.2,5.3,4.8,1.6,0.6,20.9
John Jenkins\jenkijo01,0.444,1.2,0.314,0.505,0.833,0.2,1.3,0.8,0.2,0,4.1
Jonathon Simmons\simmojo02,0.504,0.9,0.383,0.533,0.75,0.3,1.7,1.1,0.4,0.1,6
Jordan Clarkson\clarkjo01,0.433,4.1,0.347,0.468,0.804,1.2,4,2.4,1.1,0.1,15.5
Josh Richardson\richajo01,0.452,2.2,0.461,0.446,0.667,0.4,2.1,1.4,0.7,0.5,6.6
Justin Holiday\holidju01,0.386,2,0.343,0.423,0.73,0.2,1.7,1.1,0.6,0.4,4.5
Kentavious Caldwell-Pope\caldwke01,0.42,4.9,0.309,0.489,0.811,0.9,3.7,1.8,1.4,0.2,14.5
Kevin Martin\martike02,0.372,2.5,0.36,0.378,0.89,0.3,2,1.1,0.5,0.1,9.3
Khris Middleton\middlkh01,0.444,4.6,0.396,0.466,0.888,0.6,3.8,4.2,1.7,0.2,18.2
Klay Thompson\thompkl01,0.47,8.1,0.425,0.51,0.873,0.4,3.8,2.1,0.8,0.6,22.1
Kyle Korver\korveky01,0.435,5,0.398,0.502,0.833,0.2,3.3,2.1,0.8,0.4,9.2
Lamar Patterson\pattela01,0.35,1.4,0.245,0.516,0.727,0.1,1.4,1.1,0.3,0.1,2.4
Leandro Barbosa\barbole01,0.462,1.6,0.355,0.508,0.839,0.4,1.7,1.2,0.6,0.1,6.4
Lou Williams\willilo02,0.408,4.8,0.344,0.464,0.83,0.5,2.5,2.5,0.9,0.3,15.3
Manu Ginobili\ginobma01,0.453,3.1,0.391,0.496,0.813,0.4,2.5,3.1,1.1,0.2,9.6
Marco Belinelli\belinma01,0.386,4.4,0.306,0.456,0.833,0.1,1.7,1.9,0.5,0,10.2
Marcus Thornton\thornma01,0.399,4.4,0.337,0.46,0.848,0.6,2.5,1.4,0.8,0.1,9.7
Markel Brown\brownma02,0.394,2,0.314,0.443,0.755,0.4,2,1.5,0.6,0.2,5.9
Monta Ellis\ellismo01,0.427,3.5,0.309,0.472,0.786,0.5,3.3,4.7,1.9,0.5,13.8
Nick Young\youngni01,0.339,4.4,0.325,0.363,0.829,0.3,1.8,0.6,0.4,0.1,7.3
Nik Stauskas\stausni01,0.385,4.5,0.326,0.473,0.771,0.3,2.5,1.9,0.6,0.3,8.5
Norman Powell\powelno01,0.424,1.8,0.404,0.436,0.811,0.3,2.3,1,0.6,0.2,5.6
O.J. Mayo\mayooj01,0.371,4,0.321,0.421,0.775,0.3,2.6,2.9,1.2,0.2,7.8
Randy Foye\foyera01,0.351,3.1,0.3,0.405,0.824,0.3,1.9,2,0.5,0.4,5.9
Rashad Vaughn\vaughra01,0.305,2.1,0.293,0.319,0.8,0.2,1.3,0.6,0.4,0.2,3.1
Rodney Hood\hoodro01,0.42,5.7,0.359,0.472,0.86,0.5,3.4,2.7,0.9,0.2,14.5
Sasha Vujacic\vujacsa01,0.383,2.3,0.364,0.403,0.821,0.4,2.4,1.4,0.6,0.1,4.9
Sean Kilpatrick\kilpase01,0.456,3.7,0.342,0.538,0.896,0.4,1.8,0.9,0.4,0.1,11.1
Tim Hardaway\hardati02,0.43,2.8,0.338,0.537,0.893,0.1,1.7,1,0.4,0.1,6.4
Tony Allen\allento01,0.458,0.7,0.357,0.468,0.652,1.6,4.6,1.1,1.7,0.3,8.4
Troy Daniels\danietr01,0.476,2.8,0.484,0.462,0.556,0.2,1.3,0.5,0.3,0.1,5.6
Tyler Johnson\johnsty01,0.486,2,0.38,0.529,0.797,0.8,3,2.2,0.7,0.4,8.7
Victor Oladipo\oladivi01,0.438,3.9,0.348,0.475,0.83,0.7,4.8,3.9,1.6,0.8,16
Vince Carter\cartevi01,0.388,2.8,0.349,0.425,0.833,0.5,2.4,0.9,0.6,0.3,6.6
Wayne Ellington\ellinwa01,0.389,3.5,0.358,0.416,0.857,0.3,2.3,1.1,0.6,0.1,7.7
Will Barton\bartowi01,0.432,4,0.345,0.476,0.806,0.7,5.8,2.5,0.9,0.5,14.4
Zach LaVine\lavinza01,0.452,3.9,0.389,0.482,0.793,0.3,2.8,3.1,0.8,0.2,14
Alec Burks\burksal01,0.399,1.8,0.329,0.43,0.769,0.4,2.9,0.7,0.4,0.1,6.7
Alex Abrines\abrinal01,0.393,3.6,0.381,0.426,0.898,0.3,1.3,0.6,0.5,0.1,6
Allen Crabbe\crabbal01,0.468,3.8,0.444,0.49,0.847,0.2,2.9,1.2,0.7,0.3,10.7
Anthony Morrow\morroan01,0.389,2.7,0.308,0.479,0.919,0.2,0.6,0.5,0.5,0,5.5
Arron Afflalo\afflaar01,0.44,2.5,0.411,0.457,0.892,0.1,2,1.3,0.3,0.1,8.4
