,Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS,Height
122,Solomon Hill\hillso01,0.447,1.3,0.324,0.515,0.857,0.7,2.8,1.0,0.6,0.2,4.2,79
123,Stanley Johnson\johnsst04,0.375,2.8,0.307,0.41,0.784,0.8,4.2,1.6,0.8,0.2,8.1,79
124,T.J. Warren\warretj01,0.501,1.5,0.4,0.52,0.703,1.2,3.1,0.9,0.8,0.3,11.0,80
125,Tayshaun Prince\princta01,0.445,0.3,0.174,0.47600000000000003,0.684,0.4,1.9,0.9,0.5,0.2,2.9,81
126,Terrence Ross\rosste01,0.431,4.6,0.386,0.484,0.79,0.3,2.5,0.8,0.7,0.3,9.9,79
127,Thabo Sefolosha\sefolth01,0.505,1.7,0.33899999999999997,0.589,0.626,0.7,4.5,1.4,1.1,0.5,6.4,79
128,Tony Snell\snellto01,0.37200000000000005,2.4,0.361,0.38,0.909,0.3,3.1,1.0,0.3,0.3,5.3,79
129,Trevor Ariza\arizatr01,0.41600000000000004,6.2,0.371,0.478,0.7829999999999999,0.8,4.5,2.3,2.0,0.3,12.7,80
130,Wesley Johnson\johnswe01,0.40399999999999997,3.9,0.33299999999999996,0.51,0.652,0.5,3.1,0.6,1.1,0.7,6.9,79
131,Wesley Matthews\matthwe02,0.38799999999999996,6.7,0.36,0.43200000000000005,0.863,0.3,3.1,1.9,1.0,0.2,12.5,77
132,Aaron Gordon\gordoaa01,0.45399999999999996,3.3,0.28800000000000003,0.528,0.7190000000000001,1.5,5.1,1.9,0.8,0.5,12.7,81
133,Alan Anderson\anderal01,0.375,1.5,0.318,0.444,0.75,0.1,0.8,0.4,0.1,0.0,2.9,78
134,Andre Iguodala\iguodan01,0.528,2.3,0.36200000000000004,0.6509999999999999,0.706,0.7,4.0,3.4,1.0,0.5,7.6,78
135,Andre Roberson\roberan03,0.46399999999999997,2.3,0.245,0.609,0.423,1.2,5.1,1.0,1.2,1.0,6.6,79
136,Andrew Wiggins\wiggian01,0.452,3.5,0.35600000000000004,0.473,0.76,1.2,4.0,2.3,1.0,0.4,23.6,80
137,Bojan Bogdanovic\bogdabo02,0.445,4.8,0.36700000000000005,0.512,0.893,0.5,3.4,1.4,0.4,0.1,13.7,80
138,Brandon Ingram\ingrabr01,0.402,2.4,0.294,0.44299999999999995,0.621,0.8,4.0,2.1,0.6,0.5,9.4,81
139,C.J. Miles\milescj01,0.434,5.4,0.413,0.47100000000000003,0.903,0.4,3.0,0.6,0.6,0.3,10.7,78
140,Caris LeVert\leverca01,0.45,3.2,0.321,0.5710000000000001,0.72,0.4,3.3,1.9,0.9,0.1,8.2,79
141,Carmelo Anthony\anthoca01,0.433,5.7,0.359,0.466,0.833,0.8,5.9,2.9,0.8,0.5,22.4,80
142,Chandler Parsons\parsoch01,0.33799999999999997,2.7,0.26899999999999996,0.38799999999999996,0.8140000000000001,0.2,2.5,1.6,0.6,0.1,6.2,82
143,Corey Brewer\breweco01,0.42200000000000004,1.4,0.22899999999999998,0.522,0.735,0.4,2.0,1.2,0.7,0.2,4.5,81
144,Danilo Gallinari\gallida01,0.447,5.1,0.389,0.491,0.902,0.6,5.2,2.1,0.6,0.2,18.2,82
145,DeMarre Carroll\carrode01,0.4,4.4,0.341,0.483,0.7609999999999999,0.9,3.8,1.0,1.1,0.4,8.9,80
146,Derrick Jones\jonesde02,0.562,0.3,0.273,0.591,0.7070000000000001,1.2,2.5,0.4,0.4,0.4,5.3,79
147,Doug McDermott\mcderdo01,0.447,3.2,0.37,0.502,0.845,0.3,2.7,0.9,0.2,0.1,9.0,80
148,Evan Turner\turneev01,0.426,1.8,0.263,0.47,0.825,0.6,3.8,3.2,0.8,0.4,9.0,79
149,Gerald Green\greenge01,0.409,2.4,0.35100000000000003,0.46299999999999997,0.805,0.3,1.8,0.7,0.2,0.1,5.6,79
150,Giannis Antetokounmpo\antetgi01,0.521,2.3,0.272,0.563,0.77,1.8,8.8,5.4,1.6,1.9,22.9,83
151,Glenn Robinson\robingl02,0.467,1.8,0.392,0.512,0.711,0.8,3.6,0.7,0.6,0.3,6.1,78
152,Gordon Hayward\haywago01,0.47100000000000003,5.1,0.39799999999999996,0.506,0.8440000000000001,0.7,5.4,3.5,1.0,0.3,21.9,80
153,Jae Crowder\crowdja01,0.46299999999999997,5.5,0.39799999999999996,0.54,0.8109999999999999,0.7,5.8,2.2,1.0,0.3,13.9,78
154,James Ennis\ennisja01,0.455,2.1,0.37200000000000005,0.516,0.782,1.1,4.0,1.0,0.7,0.3,6.7,79
155,Jaylen Brown\brownja02,0.45399999999999996,1.7,0.341,0.507,0.685,0.6,2.8,0.8,0.4,0.2,6.6,79
156,Jimmy Butler\butleji01,0.455,3.3,0.36700000000000005,0.47700000000000004,0.865,1.7,6.2,5.5,1.9,0.4,23.9,80
157,Joe Ingles\inglejo01,0.452,3.4,0.441,0.47100000000000003,0.735,0.3,3.2,2.7,1.2,0.1,7.1,80
158,Joe Johnson\johnsjo02,0.436,3.3,0.41100000000000003,0.45399999999999996,0.818,0.4,3.1,1.8,0.5,0.2,9.2,79
