FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
0.493,0.9,0.415,0.501,0.76,0.2,2.4,5.3,0.8,0.2,11.9
0.413,4,0.344,0.46,0.817,0.3,1.8,2.3,0.5,0.1,10.6
0.393,1.6,0.333,0.419,0.686,0.4,1.8,3.6,0.8,0.1,5.7
0.449,0.8,0.333,0.48,0.735,0.3,1.6,2.1,0.5,0,4.5
0.359,1.4,0.302,0.388,0.718,0.2,1.3,2.9,0.8,0.1,4.2
0.403,2,0.375,0.424,0.8,0.3,1.1,1.9,0.4,0.1,5
0.325,2.2,0.276,0.363,0.763,0.3,1.9,2.8,0.7,0.3,5.9
0.467,0.8,0.344,0.491,0.941,0.2,1.5,3.4,0.3,0,5.8
0.359,3.1,0.313,0.399,0.75,0.4,2.4,4.9,0.9,0,7.1
0.377,1.1,0.386,0.372,0.846,0.1,1,1.3,0.2,0,3.5
0.387,1.7,0.305,0.448,0.864,0.3,1.4,1.8,0.7,0,4.5
0.332,2.8,0.314,0.346,0.625,0.1,1.5,1.8,0.5,0.1,5.2
0.476,5,0.411,0.518,0.892,0.7,5,9.2,2,0.1,18.1
0.452,1.7,0.356,0.477,0.77,0.6,2.9,3.3,0.8,0.2,9.3
0.377,3.5,0.347,0.412,0.814,0.2,1.5,2.7,0.4,0,7.9
0.405,6.1,0.352,0.447,0.782,0.5,3.5,4.8,1.4,0.3,15.6
0.444,7.7,0.37,0.492,0.895,0.6,4.9,5.9,0.9,0.3,27
0.427,2.3,0.295,0.519,0.795,0.5,2,1.7,0.3,0.2,6.2
0.476,2.6,0.417,0.495,0.86,0.3,2.2,4.6,1,0.1,13.2
0.451,3.7,0.34,0.487,0.855,0.5,3.1,6.3,0.9,0.2,17.9
0.438,3.7,0.363,0.486,0.826,0.2,2.3,5.6,0.5,0.1,11
0.471,0.9,0.217,0.487,0.874,1,3.8,4.4,0.7,0.3,18
0.399,2.7,0.328,0.476,0.829,0.2,2,2.1,0.7,0.1,6.7
0.471,1.8,0.274,0.509,0.692,1.1,4.7,6.5,1.1,0.5,12.8
0.377,3.2,0.315,0.408,0.784,0.5,3.2,3.9,0.7,0.2,11
0.434,4.7,0.335,0.477,0.847,0.8,4.8,6.3,1.4,0.5,21.1
0.477,4.8,0.403,0.523,0.801,0.5,3.4,4.2,1,0.2,16.9
0.475,4,0.405,0.499,0.79,0.8,3.8,5.8,1.2,0.2,20.3
0.463,8.5,0.379,0.528,0.909,0.6,2.7,5.9,0.9,0.2,28.9
0.402,2,0.295,0.446,0.805,0.4,2.5,2.6,0.6,0.5,7.4
0.439,1.3,0.267,0.467,0.706,0.3,2.9,5.2,0.8,0.4,9.4
0.414,4.2,0.358,0.456,0.863,0.3,2.4,5.5,0.4,0,10.9
0.444,3.6,0.388,0.489,0.714,0.4,2.6,5.1,0.7,0.1,9.2
0.44,9.3,0.347,0.53,0.847,1.2,8.1,11.2,1.5,0.5,29.1
0.442,3.1,0.357,0.475,0.867,0.4,4,7.8,1.2,0.4,15.3
0.438,4.3,0.372,0.48,0.816,0.3,3.8,5.1,1.2,0.4,14.5
0.425,2.1,0.366,0.473,0.89,0.3,1.8,1.9,0.7,0.1,5.9
0.451,3.5,0.327,0.48,0.801,0.8,4.2,10.7,2,0.6,23.1
0.41,1.6,0.313,0.5,0.917,0.4,1.8,2.1,0.3,0,3.4
0.454,4.2,0.356,0.498,0.708,0.7,3.9,7.3,1.5,0.7,15.4
0.444,7.6,0.399,0.476,0.847,0.6,3.9,5.5,1.1,0.3,23.2
0.377,0.9,0.288,0.404,0.61,0.3,2.1,2.4,1,0.5,3.8
0.464,7.8,0.412,0.518,0.819,0.8,4.8,7,1.5,0.3,22.4
0.473,6.1,0.401,0.505,0.905,0.7,3.2,5.8,1.2,0.3,25.2
0.38,4.2,0.39,0.367,0.797,0.4,2.1,1.3,0.6,0.1,7.9
0.374,1.5,0.236,0.428,0.806,0.1,1.7,2.6,0.5,0,5.4
0.39,2.8,0.367,0.404,0.854,0.3,1.9,4.7,0.7,0,7.6
0.366,1.4,0.234,0.401,0.753,0.5,3.4,2.5,0.8,0.5,6.6
0.46,6.1,0.408,0.497,0.859,0.4,3.5,6.3,1.3,0.3,20.5
0.44,4.4,0.414,0.474,0.825,0.3,1.8,3.5,0.8,0,9.5
0.408,1.9,0.376,0.418,0.6,1.1,5.1,6.7,1.4,0.2,7.8
0.38,1.2,0.339,0.393,0.771,0.2,1.5,2.6,0.5,0.1,6.2
0.43,1.8,0.319,0.473,0.781,0.4,2.7,2.4,0.8,0.3,6.7
0.419,3.5,0.359,0.442,0.868,0.4,2.2,5.2,0.7,0.1,14.5
0.402,2.6,0.306,0.443,0.891,0.9,4.1,9.1,1.7,0.1,11.1
0.373,1.5,0.317,0.391,0.748,0.2,2.2,2.2,0.4,0,7.2
0.425,7.2,0.343,0.459,0.845,1.7,10.7,10.4,1.6,0.4,31.6
0.345,1,0.19,0.406,0.548,0.3,1.4,2,0.4,0.1,2.9
0.392,3.7,0.365,0.415,0.667,0.3,2.3,5.1,0.7,0.1,7.8
0.481,4.6,0.425,0.528,0.85,0.4,2.6,2.7,1.1,0.1,12.8
0.547,0,0.333,0.55,0.7,0.4,2,1.8,0.5,0.3,5.1
0.446,2.2,0.308,0.51,0.688,0.4,2.3,2.8,0.8,0.1,7.8
0.444,1.7,0.376,0.478,0.792,0.5,2.8,3.1,0.7,0.4,7.3
0.468,10,0.411,0.537,0.898,0.8,4.5,6.6,1.8,0.2,25.3
0.461,0.7,0.2,0.492,0.811,0.5,3.1,6.6,1.7,0.1,6.9
0.367,2.4,0.318,0.405,0.773,0.5,3.1,1.8,0.6,0.1,5.5
0.403,2,0.313,0.446,0.76,0.5,2.7,5.2,0.9,0.1,7.1
0.466,1.1,0.333,0.484,0.726,0.1,1.8,4.5,0.5,0,10.1
0.455,1.2,0.443,0.459,0.759,0.1,0.8,1.8,0.2,0.1,5
0.454,1.7,0.288,0.502,0.797,0.6,2.6,4.8,1.1,0.1,9.9
0.433,1.3,0.386,0.457,0.84,0.2,0.8,1.6,0.5,0,4.3
0.433,3.4,0.372,0.46,0.768,0.7,4,3.2,1.2,0.6,13.7
0.421,1.3,0.266,0.455,0.775,0.3,1.6,3.7,0.8,0.1,7.3
0.414,1.2,0.356,0.454,0.767,0.2,1.1,2.6,0.8,0.1,3.5
0.313,0.7,0.136,0.355,0.838,0.3,1.4,1.8,0.5,0.2,3.2
0.406,3.8,0.386,0.422,0.831,0.4,2.4,3.7,0.9,0.2,10
0.431,1.2,0.302,0.507,0.7,0.4,1.8,2,0.6,0.3,3.6
0.422,2.5,0.331,0.467,0.78,0.4,2.3,3.2,0.7,0.5,9.5
0.545,0.1,0,0.551,0.56,1.8,8.1,8.2,1.7,0.9,15.8
0.46,6.5,0.38,0.532,0.919,0.6,5.4,7.9,1.7,0.2,18.6
0.424,2.3,0.353,0.457,0.745,0.5,3.2,3.2,1,0.2,7.9
0.452,3.6,0.419,0.485,0.868,0.4,2.1,3.8,0.7,0,10.2
0.414,5.8,0.324,0.477,0.74,0.6,3.9,5.2,0.8,0.4,15.5
0.439,8.6,0.361,0.501,0.916,0.8,4.5,6.6,1.1,0.4,26.9
0.495,3,0.468,0.508,0.882,0.5,2.6,5.3,1.3,0.2,12.4
0.412,2.1,0.307,0.436,0.723,0.5,2.8,4.4,1,0.3,11.6
0.443,0.4,0.265,0.454,0.709,1.4,5.7,2.9,1.2,0.4,8.1
0.465,2.2,0.366,0.52,0.829,0.7,2.9,2.9,1,0.5,8
0.436,3.9,0.29,0.48,0.849,0.7,3.1,6.2,1.1,0.1,19.4
0.395,4.9,0.313,0.435,0.694,0.7,3.8,5.2,1,0.3,15.2
0.412,3.2,0.348,0.476,0.835,0.2,1.8,2.1,0.7,0.2,8.4
0.493,1.5,0.326,0.52,0.649,1,4.3,6.2,1.3,0.3,12.7
0.388,2.3,0.318,0.415,0.76,0.4,2.4,3.2,0.6,0.2,8.6
0.473,4.9,0.347,0.545,0.795,0.7,3.8,5,2,0.6,17.7
0.379,1.7,0.36,0.384,0.817,0.6,2.5,2.8,0.7,0.2,7.9
0.364,2,0.318,0.385,0.721,0.5,2.3,3.2,0.8,0.2,5.9
0.426,3.4,0.414,0.437,0.832,0.3,2.4,3.2,0.9,0.3,8.6
0.46,3.1,0.415,0.49,0.786,0.6,2.7,2.8,0.9,0.4,10
0.45,4,0.37,0.481,0.801,0.7,4.1,4.8,0.8,0.2,17.3
0.418,1.2,0.25,0.461,0.702,0.3,1.4,3.1,0.5,0.1,6.6
0.373,5.9,0.293,0.438,0.893,0.5,2.1,4.8,0.5,0.1,15.2
0.486,1.2,0.347,0.506,0.698,0.3,2.7,4.4,0.8,0.2,10.9
0.439,4.5,0.367,0.499,0.784,0.2,2.9,6.3,0.5,0,11.6
0.451,5.4,0.378,0.502,0.905,1,3.7,3.4,1,0.3,16.7
0.389,2.5,0.331,0.45,0.8,0.3,2.1,3.6,0.5,0.1,4.9
0.427,1.4,0.291,0.459,0.84,0.4,3.1,5.6,0.6,0.1,7.5
0.352,1.1,0.278,0.372,0.776,0.2,1.8,2.1,0.8,0.1,4.8
0.446,3.3,0.368,0.477,0.845,0.3,3,7,1.5,0.3,14.2
0.416,2.5,0.326,0.468,0.745,0.4,2.3,4.6,0.9,0.1,8.4
0.43,1.2,0.379,0.458,0.759,0.2,1.2,0.7,0.3,0,3.9
0.42,4.1,0.371,0.436,0.726,0.5,3.7,9.6,1.4,1.1,19.4
0.503,1.7,0.464,0.545,0.8,0.2,1.5,2.1,0.5,0,4.5
0.431,7.5,0.384,0.469,0.864,0.4,3.1,5.6,1.1,0.3,22.1
0.423,1.2,0.282,0.46,1,0.4,1.6,2.1,0.6,0.2,6.1
0.429,2.6,0.321,0.457,0.737,0.5,4.3,6,2,0.5,13.4
0.427,7.6,0.399,0.474,0.854,0.8,5.6,6.9,1.1,0.2,16.2
0.491,6.8,0.408,0.541,0.889,0.6,3.8,5.1,1.1,0.3,24.4
0.36,5.7,0.305,0.42,0.451,1.3,6.9,7.2,1.7,0.8,10.2
0.485,3.4,0.385,0.532,0.882,0.5,3.3,3.2,0.9,0.3,13
0.382,2.3,0.371,0.391,0.804,0.2,1.9,3,0.6,0.1,6.3
0.379,2.9,0.277,0.456,0.855,0.2,2.4,3,1.2,0.2,7.7
0.362,2.1,0.372,0.351,0.926,0.4,1.7,3.8,0.4,0,4.3
0.332,1.1,0.237,0.365,0.82,0.7,2.7,2.2,0.8,0.4,4.6
0.383,2.7,0.265,0.435,0.762,0.4,2.5,3.5,0.8,0.2,9.3
0.419,5.2,0.379,0.492,0.848,0.4,2.8,4.6,0.5,0.1,9.5
0.411,5,0.372,0.47,0.89,0.3,1.9,2.8,0.7,0.1,10
0.484,3.2,0.442,0.514,0.88,0.3,2.5,2.7,0.4,0,9.5
0.468,2.3,0.333,0.526,0.543,0.5,4,8.2,1.1,0.2,8.3
0.457,1.1,0.404,0.481,0.743,0.2,1.2,1.8,0.3,0.1,4.5
0.406,2.8,0.352,0.444,0.818,0.3,1.9,2.5,0.6,0.2,6.9
0.426,3.8,0.308,0.475,0.836,0.6,2.8,5.3,0.6,0.1,14.6
0.418,3.5,0.352,0.451,0.866,0.6,4.6,5.3,1.6,0.1,13.1
0.449,4.1,0.298,0.485,0.737,1.9,10.1,10.3,1.8,0.3,25.4
0.42,2.9,0.376,0.45,0.841,0.4,2.3,2,1.1,0.2,8.7
0.384,1.6,0.36,0.398,0.865,0.3,1.7,1.8,0.5,0,4.3
0.501,0.1,0,0.509,0.82,0.5,1.8,2,0.5,0.3,5.5
0.43,2,0.345,0.473,0.711,0.3,2.4,3.9,0.8,0.1,6.9
0.387,5.4,0.326,0.452,0.813,0.5,3.2,6.6,0.9,0.3,12.6
0.495,9.8,0.423,0.595,0.921,0.7,5.1,6.1,1.6,0.2,26.4
0.499,0.8,0.435,0.51,0.795,0.5,3,4,1.2,0.2,6.3
0.395,5,0.381,0.41,0.772,0.8,4.7,2.9,1,0.2,11.3
0.395,0.9,0.304,0.44,0.767,0.3,1.9,3.3,0.8,0.1,3
0.459,0.7,0.27,0.479,0.705,0.1,1.7,3.5,0.5,0,7.7
0.503,2.9,0.362,0.556,0.649,0.4,2,4.7,0.7,0.1,12.8
0.42,1,0.25,0.476,0.759,0.4,1.8,1.9,0.6,0.2,4.1
0.435,4.5,0.367,0.491,0.822,0.5,3.4,2.3,0.8,0.5,11.7
0.388,2.1,0.288,0.425,0.832,0.3,1.8,4.4,1,0.1,7.8
0.452,5.5,0.399,0.482,0.785,0.8,5.1,5.2,1.1,0.3,19.4
0.445,1.3,0.25,0.483,0.782,0.7,3.5,2.4,0.9,0.4,9.7
0.457,1.6,0.349,0.528,0.877,0.2,1.6,2.8,1.2,0.1,5.1
,,,,,,,,,,
,3.061355932,,,,0.4952542373,,,,,
,1.922582816,,,,0.3096704191,,,,,
,3.696324686,,,,0.09589576848,,,,,
