,Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS,Height
171,Kyle O'Quinn\oquinky01,0.521,0.2,0.11800000000000001,0.5379999999999999,0.7709999999999999,2.0,5.6,1.5,0.5,1.3,6.3,82
172,Lucas Nogueira\noguelu01,0.66,0.2,0.25,0.6940000000000001,0.657,1.4,4.3,0.7,0.9,1.6,4.4,84
173,Marc Gasol\gasolma01,0.45899999999999996,3.6,0.38799999999999996,0.48,0.8370000000000001,0.8,6.3,4.6,0.9,1.3,19.5,85
174,Marcin Gortat\gortama01,0.579,0.0,0.0,0.58,0.648,2.9,10.4,1.5,0.5,0.7,10.8,83
175,Marreese Speights\speigma01,0.445,3.4,0.37200000000000005,0.52,0.8759999999999999,1.1,4.5,0.8,0.3,0.5,8.7,82
176,Mason Plumlee\plumlma01,0.536,0.1,0.0,0.541,0.58,2.1,7.5,3.5,0.9,1.1,10.4,83
177,Mike Muscala\muscami01,0.504,1.6,0.418,0.546,0.7659999999999999,1.1,3.4,1.4,0.4,0.6,6.2,83
179,Montrezl Harrell\harremo01,0.652,0.1,0.14300000000000002,0.6629999999999999,0.628,1.4,3.8,1.1,0.3,0.7,9.1,80
180,Myles Turner\turnemy01,0.511,1.4,0.348,0.536,0.809,1.7,7.3,1.3,0.9,2.1,14.5,83
181,Nene Hilario\hilarne01,0.617,0.1,0.33299999999999996,0.624,0.589,1.4,4.2,1.0,0.8,0.6,9.1,83
182,Nerlens Noel\noelne01,0.595,0.0,0.0,0.597,0.6940000000000001,1.8,5.8,1.0,1.3,1.0,8.7,83
183,Nikola Jokic\jokicni01,0.578,1.9,0.324,0.628,0.825,2.9,9.8,4.9,0.8,0.8,16.7,84
184,Nikola Vucevic\vucevni01,0.46799999999999997,1.0,0.307,0.48100000000000004,0.669,2.3,10.4,2.8,1.0,1.0,14.6,84
186,Pau Gasol\gasolpa01,0.502,1.6,0.5379999999999999,0.494,0.7070000000000001,1.7,7.8,2.3,0.4,1.1,12.4,84
187,Richaun Holmes\holmeri01,0.5579999999999999,1.4,0.35100000000000003,0.606,0.6990000000000001,1.6,5.5,1.0,0.7,1.0,9.8,82
188,Robin Lopez\lopezro01,0.493,0.0,0.0,0.494,0.721,3.0,6.4,1.0,0.2,1.4,10.4,84
190,Rudy Gobert\goberru01,0.6609999999999999,0.0,0.0,0.662,0.653,3.9,12.8,1.2,0.6,2.6,14.0,85
191,Salah Mejri\mejrisa01,0.642,0.0,0.33299999999999996,0.649,0.59,1.3,4.2,0.2,0.4,0.8,2.9,86
