,Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS,Height
125,Kevin Martin\martike02,0.37200000000000005,2.5,0.36,0.37799999999999995,0.89,0.3,2.0,1.1,0.5,0.1,9.3,79
126,Khris Middleton\middlkh01,0.444,4.6,0.396,0.466,0.888,0.6,3.8,4.2,1.7,0.2,18.2,80
127,Klay Thompson\thompkl01,0.47,8.1,0.425,0.51,0.873,0.4,3.8,2.1,0.8,0.6,22.1,79
128,Kyle Korver\korveky01,0.435,5.0,0.39799999999999996,0.502,0.833,0.2,3.3,2.1,0.8,0.4,9.2,79
129,Lamar Patterson\pattela01,0.35,1.4,0.245,0.516,0.727,0.1,1.4,1.1,0.3,0.1,2.4,77
130,Leandro Barbosa\barbole01,0.462,1.6,0.355,0.508,0.8390000000000001,0.4,1.7,1.2,0.6,0.1,6.4,75
131,Lou Williams\willilo02,0.408,4.8,0.344,0.46399999999999997,0.83,0.5,2.5,2.5,0.9,0.3,15.3,73
132,Manu Ginobili\ginobma01,0.45299999999999996,3.1,0.391,0.496,0.813,0.4,2.5,3.1,1.1,0.2,9.6,78
133,Marco Belinelli\belinma01,0.386,4.4,0.306,0.456,0.833,0.1,1.7,1.9,0.5,0.0,10.2,77
134,Marcus Thornton\thornma01,0.39899999999999997,4.4,0.337,0.46,0.848,0.6,2.5,1.4,0.8,0.1,9.7,76
135,Markel Brown\brownma02,0.39399999999999996,2.0,0.314,0.44299999999999995,0.755,0.4,2.0,1.5,0.6,0.2,5.9,75
136,Monta Ellis\ellismo01,0.42700000000000005,3.5,0.309,0.47200000000000003,0.7859999999999999,0.5,3.3,4.7,1.9,0.5,13.8,75
137,Nick Young\youngni01,0.33899999999999997,4.4,0.325,0.363,0.8290000000000001,0.3,1.8,0.6,0.4,0.1,7.3,79
138,Nik Stauskas\stausni01,0.385,4.5,0.326,0.473,0.7709999999999999,0.3,2.5,1.9,0.6,0.3,8.5,78
139,Norman Powell\powelno01,0.424,1.8,0.40399999999999997,0.436,0.8109999999999999,0.3,2.3,1.0,0.6,0.2,5.6,76
140,O.J. Mayo\mayooj01,0.371,4.0,0.321,0.42100000000000004,0.775,0.3,2.6,2.9,1.2,0.2,7.8,77
141,Randy Foye\foyera01,0.35100000000000003,3.1,0.3,0.405,0.8240000000000001,0.3,1.9,2.0,0.5,0.4,5.9,76
142,Rashad Vaughn\vaughra01,0.305,2.1,0.293,0.319,0.8,0.2,1.3,0.6,0.4,0.2,3.1,78
