FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
0.425,2.4,0.303,0.458,0.735,1.1,5.5,1.9,0.9,0.5,12
0.452,4.7,0.402,0.504,0.833,1.6,6.4,1.4,0.7,1,11.7
0.448,3.7,0.377,0.527,0.761,0.8,5.1,1.5,0.1,0.3,8.4
0.468,2.1,0.392,0.523,0.794,0.7,2.7,1,0.3,0.2,6.2
0.427,5.8,0.393,0.476,0.774,0.7,3.8,1.1,0.4,0.3,12.2
0.468,2.1,0.384,0.564,0.727,0.8,3.5,1.4,0.4,0.4,5.1
0.544,0.1,0,0.549,0.578,0.9,4.5,1.7,0.9,0.5,9.2
0.459,0,0,0.467,0.697,1.2,2.9,0.9,0.3,0.3,2.1
0.407,5.2,0.39,0.43,0.807,0.9,5.5,1.5,0.9,0.7,11.8
0.421,0.6,0.239,0.457,0.745,1.2,3.9,0.4,0.3,0.3,3.6
0.481,4,0.409,0.537,0.648,0.8,5.9,1.4,0.8,0.2,11.8
0.414,3.7,0.362,0.49,0.853,1,4.3,1.2,0.7,0.4,6.9
0.47,2.9,0.319,0.512,0.757,2.4,9,3.3,1.8,1.7,17.1
0.556,0.8,0.388,0.606,0.735,1.1,3.2,0.5,0.5,0.4,5.2
0.514,0.9,0.182,0.596,0.689,1.2,2.6,0.6,0.4,0.8,5.6
0.427,5.4,0.366,0.466,0.873,2,6,1.1,0.6,0.4,17
0.369,1,0.135,0.446,0.685,0.6,3.4,0.6,0.4,0.3,4.2
0.479,2.4,0.326,0.52,0.752,1.8,6.8,0.8,0.5,1.9,12.6
0.405,1.8,0.373,0.422,0.831,0.9,4.3,1.9,0.4,0.5,6
0.526,0,0,0.529,0.692,2.8,6.9,1.5,0.6,1.1,8.6
0.452,1.6,0.316,0.49,0.664,1.2,4.2,0.8,0.5,0.8,8.7
0.514,0.4,0.233,0.523,0.644,2.4,9,1.8,1.5,0.5,15.1
0.447,0,0,0.448,0.431,1.9,5.1,0.6,0.5,0.5,4.3
0.469,3.1,0.335,0.518,0.831,1.3,6.7,2.2,0.9,0.5,14.7
0.49,0.5,0.293,0.513,0.67,2.1,5.7,1.1,0.7,0.5,5.9
0.438,1.6,0.383,0.461,0.695,0.7,3.7,0.7,0.3,0.2,6.1
0.588,0,,0.588,0.616,3.3,9,0.8,0.5,0.6,7.8
0.475,0.4,0.231,0.482,0.796,2.6,7.8,2.1,0.6,0.2,15.3
0.393,3.5,0.33,0.445,0.706,1.3,7.4,1.6,1,0.7,8.7
0.576,0.8,0.409,0.612,0.67,1.5,4.6,1.8,0.6,0.8,6.5
0.442,3.5,0.391,0.537,0.744,0.8,3.6,1.2,0.5,0.3,7.1
0.493,1.9,0.336,0.514,0.76,1.8,8.1,4.9,0.9,0.4,21.6
0.488,1.5,0.333,0.541,0.661,1.2,4.6,0.5,0.3,0.2,6.8
0.446,1.1,0.247,0.512,0.743,0.6,2.2,2.3,0.2,0.1,4.6
0.575,0.1,0.333,0.579,0.875,0.8,2.5,0.4,0.3,0.2,5.6
0.485,2.7,0.392,0.579,0.593,0.8,4.2,0.6,0.6,0.4,6.6
0.411,4.2,0.311,0.469,0.782,1.4,6.3,2.2,0.7,0.4,12.8
0.442,2.9,0.453,0.429,0.864,0.6,2.7,1,0.5,0.5,6.4
0.59,0,,0.59,0.708,1.9,5.6,1.6,0.4,0.5,7.3
0.44,2.6,0.399,0.557,0.824,0.3,1.5,0.7,0.3,0.4,4.5
0.487,0.2,0.3,0.491,0.615,1.8,6.1,1.1,0.9,0.8,9.5
0.443,1.9,0.309,0.531,0.652,0.4,2.6,0.6,0.3,0.1,6.1
0.437,3.9,0.378,0.463,0.875,0.4,6.5,1.5,0.6,0.7,14.2
0.399,2,0.321,0.438,0.657,0.6,3.6,1,0.5,0.4,5.9
0.413,1.4,0.234,0.505,0.51,0.8,3,0.9,0.5,0.3,4.4
0.372,2.4,0.293,0.479,0.754,0.7,2.7,0.8,0.6,0.3,4.3
0.354,2.3,0.277,0.483,0.364,0.5,2.4,0.5,0.2,0.5,3.4
0.418,3.5,0.308,0.494,0.709,1.3,7.9,7,2,1.4,10.2
0.528,0,,0.528,0.617,2.1,5.3,0.6,0.3,0.5,4.3
0.431,4.9,0.353,0.496,0.778,1.4,5.9,1.7,0.7,0.3,13.1
0.502,0.5,0.372,0.511,0.814,2.3,7.9,1.9,1.1,1.2,10
0.468,2.8,0.351,0.492,0.861,1.2,5,1.5,0.8,0.2,19.2
0.49,3.5,0.365,0.525,0.743,1.5,6.2,2.8,1,0.4,20.1
0.479,3.4,0.34,0.548,0.707,0.9,4.9,3.6,1,1.1,12.8
0.5,1.9,0.379,0.549,0.802,2.2,7.1,1.1,0.6,0.4,8.9
0.454,3.2,0.379,0.559,0.662,0.5,3.5,1.9,0.7,0.3,6.8
0.384,0.6,0.36,0.389,0.8,1,3.9,0.2,0.4,0.2,3.9
0.394,2.8,0.275,0.458,0.863,0.6,3.1,1.2,0.5,0.2,9.2
0.463,1.5,0.371,0.514,0.612,0.5,2.6,0.6,0.4,1,5.5
0.48,2.2,0.293,0.545,0.867,1.4,5.4,1.5,0.4,0.3,10.2
0.435,1.7,0.346,0.523,0.703,0.8,3.5,0.9,0.3,0.2,3.8
0.451,1.8,0.407,0.495,0.75,0.7,3,0.5,0.5,0.2,4.9
0.488,0.9,0.27,0.507,0.723,2,8.6,3.6,0.7,0.5,13.2
0.548,0.1,0,0.556,0.693,3,7.6,0.9,0.7,0.7,9.6
0.537,5,0.375,0.608,0.875,0.6,8.3,4.8,1.1,1.6,25.1
0.427,6.5,0.373,0.471,0.871,2.5,11.1,1.9,0.9,0.4,19
0.551,0,0,0.556,0.636,0.8,2.9,0.5,0.1,0.4,4.7
0.407,1,0.352,0.425,0.78,1.1,3.7,0.5,0.3,0.4,4.6
0.45,4.8,0.357,0.493,0.786,1.7,7.2,1.5,0.7,2,18.1
0.477,0.8,0.411,0.48,0.812,2.4,7.3,1.9,0.6,1.2,17.3
0.398,1.8,0.447,0.371,0.843,0.7,3.1,0.8,0.5,0.1,6
0.526,0.6,0.278,0.554,0.738,1.9,5.9,1.5,1.3,0.6,7.1
0.458,0,0,0.461,0.697,1.7,3.6,0.9,0.3,0.4,2.9
0.47,1.4,0.34,0.535,0.676,1.4,3.9,1,0.4,0.1,5.1
0.457,2.6,0.362,0.483,0.837,1.4,6.5,1.7,1.1,0.6,14
0.449,2.7,0.321,0.52,0.624,1.2,4.2,0.7,0.8,0.9,9.2
0.422,4.7,0.35,0.494,0.873,1.2,6.6,1.4,0.8,0.7,11.2
0.453,0.2,0.143,0.481,0.731,0.7,2,0.3,0.5,0.3,3.1
