FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
0.404,4.3,0.323,0.488,0.818,0.7,3.4,1.2,0.8,0.3,9.7
0.474,2.1,0.333,0.567,0.836,1,3.1,1,0.7,0.3,7.1
0.475,3,0.434,0.492,0.826,0.6,5,1.6,1,0.7,13.9
0.467,5.7,0.44,0.516,0.795,0.3,4.2,4.8,1.1,0.2,11.5
0.406,2.6,0.276,0.493,0.889,0.3,3.1,1.5,0.3,0.1,6.8
0.417,2.8,0.263,0.464,0.634,1.2,4.6,1.5,1,0.5,13.1
0.451,4.1,0.378,0.495,0.845,0.9,3.5,2.9,1.5,0.9,12.9
0.431,2.7,0.33,0.535,0.737,0.7,2.4,0.7,0.4,0.2,6.2
0.442,2.7,0.308,0.547,0.722,0.4,2.8,1.1,0.4,0.2,6.7
0.403,4.6,0.341,0.456,0.82,0.7,4.5,1.2,1,0.4,11.8
0.466,5,0.359,0.517,0.884,0.5,5.2,4,1.5,0.3,20.1
0.527,0.8,0.333,0.556,0.712,1.1,5.4,2.7,1.6,0.8,7.9
0.384,0.5,0.235,0.415,0.525,1,3.3,1.8,0.5,0.3,3.2
0.423,3.1,0.385,0.525,0.773,0.1,1.9,0.6,0.2,0.1,5.2
0.442,3.6,0.337,0.523,0.819,0.5,3.7,1.4,1.1,0.4,9.6
0.495,2,0.415,0.547,0.712,0.8,2.7,0.9,0.8,0.7,6.5
0.504,0,0,0.505,0.684,1.1,4.1,1,0.7,0.4,9.2
0.471,2.7,0.371,0.604,0.629,0.6,2.5,0.7,0.7,0.2,5.9
0.58,0.4,0.455,0.595,0.725,0.6,3.8,1,0.3,0.4,5.7
0.503,4.1,0.441,0.537,0.828,1.3,6.4,2,1.5,0.5,14.7
0.43,7.7,0.401,0.454,0.822,0.9,5.7,3.3,2,0.5,21.9
0.346,2,0.336,0.355,0.76,0.2,2.4,0.9,0.4,0.3,4
0.489,4.5,0.445,0.536,0.796,0.4,2.5,1.5,0.8,0.2,11.3
0.413,6.9,0.369,0.497,0.853,0.7,5.4,2,1.7,0.9,12.6
0.472,0.8,0.241,0.491,0.788,1.5,6.8,2.5,1,0.7,13.9
0.423,1.7,0.356,0.47,0.803,0.4,3.4,1.4,0.5,0.2,5
0.375,3.4,0.286,0.439,0.772,0.5,3.7,1.6,1.4,0.2,8.7
0.498,1.4,0.222,0.523,0.757,1.9,5.1,1.3,1,0.6,19.6
0.426,5.6,0.385,0.461,0.844,0.6,4.7,2.6,1,0.5,14.1
0.492,2.2,0.381,0.551,0.815,0.8,4.2,0.9,1.4,0.3,8.2
0.375,3,0.335,0.431,0.793,0.3,1.4,1,0.2,0.1,5.8
0.453,1.5,0.293,0.57,0.629,1,3.3,0.6,0.3,0.4,4.2
0.412,6.9,0.368,0.519,0.854,0.5,4.4,1.6,1.5,0.2,11.7
0.403,2.8,0.345,0.483,0.757,0.3,2.6,1.2,0.7,0.4,5.4
0.427,0.7,0.196,0.488,0.723,0.6,2.2,0.9,0.5,0.2,3.7
0.408,2.4,0.339,0.471,0.741,0.4,2.9,0.8,1,0.8,5.4
0.406,6.4,0.381,0.441,0.822,0.4,3.1,2.7,1.2,0.3,12.7
0.445,3.3,0.358,0.501,0.772,1.4,5.4,2.1,0.6,0.5,10
,,,,,,,,,,
,3.022529644,,,,0.7363636364,,,,,
,1.640220636,,,,0.4200597772,,,,,
,2.690323734,,,,0.1764502165,,,,,
