FG%,3P%,2P%,FT%,TRB,AST,STL,BLK,PTS,,,
0.529,0.307,0.554,0.76,10,4.8,1.5,1.4,26.9,0.5,1.5,2.8
0.445,0.357,0.478,0.827,6.1,2,0.6,0.2,18.9,0.8,1.4,5.2
0.566,,0.566,0.806,4.4,0.9,0.3,0.4,5.6,0.6,2,4.2
0.482,0.383,0.514,0.741,4.9,1.9,0.8,0.3,12.6,0.6,1.8,6.8
0.503,0.308,0.587,0.698,4.9,3.8,1,0.7,10.8,2.3,2.7,18.1
0.457,0.339,0.499,0.721,8.4,1.4,0.6,0.5,10.3,0.6,1.8,5.8
0.393,0.363,0.452,0.771,2,1.6,0.5,0.2,3.2,0.8,2,13.6
0.446,0.347,0.47,0.767,4.4,1,0.5,0.7,7.7,0.5,1.1,6.5
0.477,0.312,0.54,0.868,3.2,1.3,0.5,0.4,10.8,1.3,2.7,14.8
0.535,0.291,0.613,0.675,3.9,0.7,0.4,1,8.4,1.1,1.9,8.8
0.576,0.34,0.598,0.715,7.3,1.3,0.6,1.1,10.5,0.9,1.4,6.2
0.398,0.326,0.422,0.84,2.6,0.4,0.3,0.2,4.8,1.3,2.1,10.8
0.466,0.414,0.511,0.807,3.3,0.6,0.3,0.2,5.8,0.9,1.2,10.8
0.33,0.287,0.403,0.3,2.3,0.3,0.2,0.6,2.3,1.3,1.8,11
0.424,0.38,0.44,0.635,5.4,2.2,0.8,0.5,7.8,1,1.6,5
0.497,0.379,0.59,0.77,5.7,2.7,0.8,0.5,11.5,1.2,1.6,16.1
0.514,0,0.517,0.706,4.8,0.6,0.4,0.4,5.9,1.8,2.1,10
0.516,0.419,0.565,0.889,6.8,5.4,0.7,1.8,26.4,0.9,1.4,6.2
0.439,0.395,0.454,0.793,6.6,1.2,0.8,2.4,22.7,1.4,1.9,14.1
0.45,0.366,0.511,0.707,6.3,1.8,0.6,0.4,16.1,1.8,1.9,17.6
0.382,0.403,0.364,0.83,2.4,0.6,0.4,0.2,4.1,1.1,2,9.3
0.434,0.362,0.497,0.843,7.5,1.2,0.6,0.6,15.2,2.2,2.1,28.1
0.542,0.367,0.603,0.731,8.6,9.1,1.4,0.9,27.5,0.7,1.8,8.9
0.481,0.364,0.599,0.684,3,0.9,1.2,0.4,7.5,2.8,2.4,21.4
0.429,0.368,0.467,0.805,5.4,1.3,0.6,0.2,13.6,1.4,1.8,13.2
0.48,0.367,0.529,0.82,5.6,1.9,0.8,0.5,11.5,1.3,2.5,16.2
0.423,0.295,0.509,0.608,5.5,1.2,0.7,1,7.7,0.5,1.6,4.9
0.458,0.413,0.512,0.829,4.7,1.2,0.7,0.5,9.5,1.9,2.1,14.6
0.489,0.313,0.613,0.746,3.3,0.7,0.4,0.7,5.4,0.5,1.2,5.9
0.507,0.395,0.52,0.78,5.6,1.7,0.5,0.6,13.2,1.4,2.3,13.5
0.527,0.405,0.582,0.658,3.3,1.1,0.3,0.1,8.8,1.4,2,6.5
0.461,0.415,0.505,0.8,4.1,1.3,0.7,0.2,6.8,2.9,2.6,11
0.447,0.377,0.525,0.818,7.4,1.5,0.8,0.7,15.6,0.6,1.7,2.1
0.444,0.303,0.5,0.621,5.8,0.6,0.4,0.3,4.9,1,2.3,10.9
0.39,0.371,0.435,0.717,5.6,0.9,1,0.3,6.1,0.8,1.2,11.1
0.508,0.22,0.612,0.621,4.5,2,0.8,0.5,7.3,3,3.1,26.9
0.398,0.386,0.421,0.87,2.4,0.7,0.6,0.3,3.9,1.5,1.2,18.9
0.464,0.345,0.506,0.696,6.4,2.8,1,1.2,14.6,1,1.5,5.6
0.356,0.349,0.384,0.817,3.7,0.8,0.5,0.4,5.9,1.5,1.6,12.6
0.471,0.314,0.516,0.772,5.1,1.3,0.8,0.7,11.5,1.9,2.6,10.8
0.431,0.386,0.539,0.774,5,0.9,0.4,0.3,9.3,1.4,2.8,10.3
0.494,0.167,0.593,0.661,2.4,0.5,0.3,0.1,4.2,0.6,1.8,3.2
0.346,0.32,0.397,0.61,2.2,0.3,0.3,0.1,2.7,1.2,2.9,7.7
0.483,0.36,0.559,0.797,6.3,0.8,0.4,1.3,12.6,1,1.9,10.8
0.448,0.353,0.459,0.805,4.8,1.2,0.4,0.8,8.7,0.7,1.9,8.4
0.577,0.2,0.595,0.768,7.1,1.2,0.8,0.7,12.2,1.4,2.9,10.5
0.487,0.32,0.531,0.598,6.3,1.9,1.7,0.4,11.8,0.4,1.3,4.8
0.46,0.411,0.488,0.829,5.5,2.4,0.9,0.4,18.6,0.4,1.7,5.8
0.516,0.242,0.545,0.71,4.7,1.2,0.4,0.3,6.3,0.4,1.2,2.3
0.491,0.381,0.563,0.706,4.8,1.2,0.4,0.5,9.9,1.1,2.1,7.8
0.441,0.36,0.556,0.81,3.3,0.7,0.2,0.1,4.7,1.9,2.9,11.5
0.473,0.347,0.503,0.785,6.7,2.2,0.7,0.2,14.5,0.7,1.6,5.9
34.2,0.516,0.419,0.586,0.889,0.5,6.4,6.8,1.8,3,2,26.4
32.4,0.439,0.395,0.489,0.793,1.3,5.3,6.6,2.4,1.9,2.9,22.7
31.2,0.45,0.366,0.527,0.707,1.1,5.1,6.3,0.4,1.8,2.1,16.1
18.5,0.382,0.403,0.476,0.83,0.6,1.8,2.4,0.2,0.5,1.8,4.1
29.7,0.434,0.362,0.518,0.843,1.2,6.3,7.5,0.6,1.2,1.5,15.2
36.9,0.542,0.367,0.59,0.731,1.2,7.5,8.6,0.9,4.2,1.7,27.5
