FG%,3P%,2P%,FT%,TRB,AST,STL,BLK,PTS
0.436,0.411,0.454,0.818,3.1,1.8,0.5,0.2,9.2
0.424,0.299,0.522,0.791,3.3,0.9,0.5,0.3,7.1
0.456,0.303,0.553,0.842,1.7,0.3,0.4,0.4,4.2
0.485,0.38,0.529,0.88,5.8,3.5,1.8,0.7,25.5
0.421,0.287,0.52,0.758,3.3,0.6,0.7,0.2,6.3
0.409,0.346,0.446,0.708,3.2,2.4,1.2,0.7,11
0.445,0.375,0.462,0.789,2.9,1.3,0.7,0.4,3.4
0.41,0.189,0.587,0.765,1.5,0.3,0.2,0.2,2.8
0.548,0.363,0.611,0.674,8.6,8.7,1.2,0.6,26.4
0.505,0.391,0.552,0.678,2.1,0.5,1,0.4,6.1
0.402,0.414,0.366,0.733,2.1,0.5,0.3,0.2,4.8
0.387,0.309,0.436,0.73,5.3,1.3,0.9,0.4,7.6
0.418,0.331,0.466,0.784,4.6,2,0.7,0.3,14
0.355,0.299,0.398,0.8,2.2,1,0.5,0.2,4.9
0.391,0.331,0.467,0.787,5.2,2.6,0.6,0.4,7.1
0.503,0.351,0.572,0.621,4.4,1.1,1.1,0.9,10
0.477,0.111,0.483,0.784,7,1.4,1,1,9.2
0.423,0.396,0.465,0.8,2.2,0.9,0.3,0.1,5.2
0.428,0.321,0.517,0.809,1.9,1,0.4,0.2,6.3
0.516,0.434,0.576,0.832,6.4,1.5,1.5,0.5,13.4
0.413,0.357,0.451,0.774,5.8,1.2,1.4,0.2,6.7
0.461,0.393,0.501,0.898,6.6,3.3,1.6,0.4,23.7
0.398,0.333,0.451,0.775,2.8,0.8,0.3,0.4,5.5
0.422,0.384,0.473,0.714,2.1,0.9,0.6,0.1,4.5
0.446,0.333,0.58,0.741,2.6,1,0.3,0.1,5.7
0.399,0.333,0.484,0.822,6.5,1.5,1.9,1,12.9
0.434,0.224,0.463,0.751,5.8,2,1.1,0.6,8.7
0.455,0.372,0.483,0.855,6.3,2.8,1.5,0.9,18.7
0.482,0.338,0.528,0.774,2.8,0.4,0.3,0.1,9.9
0.383,0.348,0.428,0.805,3.8,1.8,0.9,0.4,7
0.353,0.292,0.398,0.679,2.5,1.4,0.7,0.3,4.4
0.495,0.265,0.527,0.773,5.1,1.1,1.2,0.6,14.4
0.4,0.324,0.443,0.787,2.7,0.9,0.7,0.5,5.7
