FG%,3P%,2P%,FT%,TRB,AST,STL,BLK,PTS
0.359,0.283,0.42,0.812,3.9,4.6,1.6,0.4,10.6
0.4,0.35,0.431,0.852,2.3,1.2,0.6,0.1,6.6
0.443,0.319,0.483,0.727,2.8,3.2,1.1,0.4,8.5
0.43,0.404,0.481,0.856,2.3,1,0.6,0.2,13.2
0.403,0.333,0.453,0.856,6.2,5.9,1.1,0.4,15.1
0.396,0.368,0.433,0.813,2.8,2.4,0.6,0.4,9.5
0.449,0.324,0.514,0.792,2.2,1.1,0.7,0.2,8.4
0.42,0.382,0.463,0.768,5.9,4.2,1.5,0.4,9.5
0.433,0.333,0.533,0.784,1.4,1.1,0.5,0.2,4
0.363,0.33,0.418,0.857,2.2,2,0.5,0.1,5.2
0.365,0.321,0.413,0.4,1.2,0.6,0.5,0.2,3.5
0.408,0.371,0.44,0.783,3.4,1.6,0.6,0.2,12.7
0.413,0.332,0.488,0.62,3.3,1.6,0.6,0.2,6.4
0.378,0.267,0.45,0.651,1.9,2.1,0.7,0.2,4.1
0.415,0.341,0.468,0.843,4,2.2,0.6,0.1,13.1
0.455,0.357,0.537,0.766,2.8,2.3,0.7,0.2,14.5
0.415,0.243,0.473,0.697,1.5,1.6,0.5,0.1,2.7
0.461,0.278,0.479,0.615,5.5,1.4,1.6,0.4,9.1
0.455,0.406,0.548,0.81,3.1,1.2,0.7,0.2,8.5
0.374,0.389,0.336,0.796,1.5,0.7,0.3,0.1,8.2
0.442,0.361,0.491,0.753,4.3,2.6,1.2,0.3,15.9
0.416,0.378,0.509,0.86,2.1,1.1,0.6,0.1,10.5
0.393,0.363,0.432,0.816,3.5,2.9,1.1,0.2,13.5
0.443,0.37,0.483,0.753,4.3,3.4,0.8,0.5,13.7
0.459,0.387,0.515,0.836,3.4,3,0.9,0.2,18.9
0.411,0.331,0.452,0.863,3,1,0.6,0.1,7.7
0.395,0.38,0.443,0.848,1.5,0.4,0.5,0.1,4.7
0.407,0.378,0.461,0.852,4.3,1.6,0.6,0.5,13.2
0.537,0.222,0.627,0.316,4.7,1.2,1.2,0.9,5
0.401,0.386,0.413,0.846,1.2,0.6,0.1,0.2,3.4
0.424,0.378,0.461,0.642,2.4,4,1.2,0.3,15.1
0.414,0.369,0.436,0.768,2.5,2,1.1,0.2,14.3
0.421,0.346,0.477,0.828,2.5,0.9,0.7,0.3,7.5
0.446,0.392,0.485,0.84,2.9,3.3,0.9,0.2,11.8
0.46,0.375,0.507,0.791,4.4,4.5,1.2,0.4,22.6
0.421,0.39,0.446,0.667,1.4,1,0.4,0,6.9
0.446,0.431,0.457,0.877,3.8,1.9,1.1,0.3,13.5
0.442,0.282,0.546,0.813,1.5,1.1,0.8,0.3,5.5
0.443,0.397,0.465,0.836,4,3.4,1,0.4,21.4
0.454,0.406,0.482,0.919,2.9,2.4,1.1,0.2,12
0.447,0.324,0.538,0.696,1.9,0.7,0.3,0,4.1
0.387,0.363,0.419,0.769,3.6,1.6,0.9,1.1,8.6
0.478,0.346,0.496,0.655,4.7,1.5,0.8,0.4,7.9
0.377,0.358,0.396,0.4,1.3,0.8,0.6,0.2,1.7
0.456,0.31,0.494,0.825,3.9,5.2,1.1,0.3,23
0.417,0.386,0.45,0.745,5.1,3.2,0.8,0.1,10.2
0.432,0.383,0.46,0.878,4.5,4.7,0.9,0.3,24.9
0.398,0.306,0.463,0.739,2.6,3.8,0.8,0.3,14.3
0.437,0.34,0.502,0.805,3.7,3.7,1.5,0.3,20.5
0.375,0.256,0.409,0.8,2.3,0.7,0.3,0,3.3
0.438,0.288,0.468,0.714,3.8,3.4,0.9,0.7,11.4
0.508,0.425,0.556,0.706,2.9,2.3,1,0.1,12.5
0.428,0.359,0.544,0.809,2.5,2.2,0.6,0.4,18
0.418,0.392,0.442,0.769,2.3,1.9,0.9,0.4,8.4
0.485,0.396,0.553,0.827,2.6,2.9,1.8,0.2,17.5
0.407,0.369,0.504,0.85,3.2,0.6,0.6,0.4,12.1
0.448,0.318,0.533,0.763,1.7,1.5,0.4,0.1,7.4
0.46,0.42,0.504,0.904,2.5,3,0.5,0.1,17.1
0.403,0.375,0.453,0.696,2.9,1.8,0.9,0.1,8.3
0.415,0.331,0.477,0.903,1.2,2.3,0.5,0.1,10.3
0.449,0.367,0.531,0.858,5.4,8.8,1.8,0.7,30.4
0.383,0.348,0.487,0.889,0.9,1.2,0.8,0.3,3.3
0.465,0.395,0.507,0.644,4.9,1.6,1,0.4,14.5
0.457,0.37,0.495,0.861,4.1,2.3,0.8,0.4,12.9
0.416,0.37,0.474,0.795,2.1,1.4,0.6,0.2,7.9
